-1,00000;C30H52O26
-4,00000;H2O
5,00000;C6H12O6
-1,00000;C30H52O26
-4,00000;H2O
5,00000;C6H12O6
-1,00000;C13H25O7N3S1
-6,00000;H2O
6,50000;CH4
6,50000;CO2
3,00000;H3N
1,00000;H2S
-1,00000;C57H104O6
-3,00000;H2O
1,00000;C3H8O3
3,00000;C18H34O2
-1,00000;C6H12O6
-0,11150;H3N
0,11150;C5H7O2N1
0,74400;C2H4O2
0,50000;C3H6O2
0,44090;C4H8O2
0,69090;CO2
1,02540;H2O
-1,00000;C6H12O6
2,00000;C3H6O3
-1,00000;C6H12O6
2,00000;C2H6O
2,00000;CO2
-3,00000;C3H6O3
2,00000;C3H6O2
1,00000;C2H4O2
1,00000;CO2
1,00000;H2O
-1,00000;C18H34O2
-0,17010;H3N
-0,25010;CO2
-15,23960;H2O
0,17010;C5H7O2N1
8,69980;C2H4O2
14,49780;H2
-1,00000;C4H8O2
-0,06530;H3N
-0,80380;H2O
-0,00060;H2
-0,55430;CO2
0,06530;C5H7O2N1
1,89090;C2H4O2
0,44600;CH4
-1,00000;C3H8O3
-0,04071;H3N
-0,02910;CO2
-0,00050;H2
0,04071;C5H7O2N1
0,94185;C3H6O2
1,09308;H2O
-1,00000;C3H6O2
-0,06198;H3N
-0,31434;H2O
0,06198;C5H7O2N1
0,93450;C2H4O2
0,66041;CH4
0,16069;CO2
0,00055;H2
-2,00000;C2H6O
-1,00000;CO2
2,00000;C2H4O2
1,00000;CH4
-1,00000;C2H4O2
-0,02200;H3N
0,02200;C5H7O2N1
0,94500;CH4
0,94500;CO2
0,06600;H2O
-14,49760;H2
-3,83340;CO2
-0,08360;H3N
0,08360;C5H7O2N1
3,41540;CH4
7,49960;H2O
